movie_id,title,actor_id,actor_name
603,The Matrix,6384,Keanu Reeves
603,The Matrix,2975,Laurence Fishburne
603,The Matrix,530,Carrie-Anne Moss
603,The Matrix,1331,Hugo Weaving
603,The Matrix,9364,Gloria Foster
280,Terminator 2: Judgment Day,1100,Arnold Schwarzenegger
280,Terminator 2: Judgment Day,2713,Linda Hamilton
280,Terminator 2: Judgment Day,820,Edward Furlong
280,Terminator 2: Judgment Day,418,Robert Patrick
280,Terminator 2: Judgment Day,2716,Earl Boen
101,Léon: The Professional,1003,Jean Reno
101,Léon: The Professional,524,Natalie Portman
101,Léon: The Professional,64,Gary Oldman
101,Léon: The Professional,1004,Danny Aiello
101,Léon: The Professional,1005,Peter Appel
564,The Mummy,18269,Brendan Fraser
564,The Mummy,3293,Rachel Weisz
564,The Mummy,10727,John Hannah
564,The Mummy,16743,Arnold Vosloo
564,The Mummy,18920,Patricia Velásquez
949,Heat,1158,Al Pacino
949,Heat,380,Robert De Niro
949,Heat,5576,Val Kilmer
949,Heat,10127,Jon Voight
949,Heat,3197,Tom Sizemore
18,The Fifth Element,62,Bruce Willis
18,The Fifth Element,63,Milla Jovovich
18,The Fifth Element,64,Gary Oldman
18,The Fifth Element,65,Ian Holm
18,The Fifth Element,66,Chris Tucker
607,Men in Black,2176,Tommy Lee Jones
607,Men in Black,2888,Will Smith
607,Men in Black,9625,Linda Fiorentino
607,Men in Black,7132,Vincent D'Onofrio
607,Men in Black,9626,Rip Torn
2109,Rush Hour,18897,Jackie Chan
2109,Rush Hour,66,Chris Tucker
2109,Rush Hour,207,Tom Wilkinson
2109,Rush Hour,4492,Philip Baker Hall
2109,Rush Hour,7430,Elizabeth Peña
9737,Bad Boys,2888,Will Smith
9737,Bad Boys,78029,Martin Lawrence
9737,Bad Boys,4939,Téa Leoni
9737,Bad Boys,10698,Tchéky Karyo
9737,Bad Boys,532,Joe Pantoliano
9323,Ghost in the Shell,34923,Atsuko Tanaka
9323,Ghost in the Shell,40451,Akio Otsuka
9323,Ghost in the Shell,625,Iemasa Kayumi
9323,Ghost in the Shell,20664,Koichi Yamadera
9323,Ghost in the Shell,83933,Yutaka Nakano
1893,Star Wars: Episode I - The Phantom Menace,3896,Liam Neeson
1893,Star Wars: Episode I - The Phantom Menace,3061,Ewan McGregor
1893,Star Wars: Episode I - The Phantom Menace,524,Natalie Portman
1893,Star Wars: Episode I - The Phantom Menace,33196,Jake Lloyd
1893,Star Wars: Episode I - The Phantom Menace,27762,Ian McDiarmid
197,Braveheart,2461,Mel Gibson
197,Braveheart,2462,Catherine McCormack
197,Braveheart,1957,Sophie Marceau
197,Braveheart,2463,Patrick McGoohan
197,Braveheart,2464,Angus Macfadyen
37135,Tarzan,3417,Tony Goldwyn
37135,Tarzan,6613,Minnie Driver
37135,Tarzan,515,Glenn Close
37135,Tarzan,15789,Alex D. Linz
37135,Tarzan,12929,Rosie O'Donnell
954,Mission: Impossible,500,Tom Cruise
954,Mission: Impossible,10127,Jon Voight
954,Mission: Impossible,4885,Emmanuelle Béart
954,Mission: Impossible,15319,Henry Czerny
954,Mission: Impossible,1003,Jean Reno
754,Face/Off,8891,John Travolta
754,Face/Off,2963,Nicolas Cage
754,Face/Off,11148,Joan Allen
754,Face/Off,4941,Alessandro Nivola
754,Face/Off,11150,Gina Gershon
861,Total Recall,1100,Arnold Schwarzenegger
861,Total Recall,10768,Rachel Ticotin
861,Total Recall,4430,Sharon Stone
861,Total Recall,780,Ronny Cox
861,Total Recall,11086,Michael Ironside
66245,Arunachalam,91555,Rajinikanth
66245,Arunachalam,237709,Rambha
66245,Arunachalam,288587,Soundarya
66245,Arunachalam,584255,Jaishankar
66245,Arunachalam,584132,Ravichandran
602,Independence Day,2888,Will Smith
602,Independence Day,8984,Bill Pullman
602,Independence Day,4785,Jeff Goldblum
602,Independence Day,1581,Mary McDonnell
602,Independence Day,6167,Judd Hirsch
36647,Blade,10814,Wesley Snipes
36647,Blade,10822,Stephen Dorff
36647,Blade,10823,Kris Kristofferson
36647,Blade,10824,N'Bushe Wright
36647,Blade,10825,Donal Logue
2061,Pusher,3398,Kim Bodnia
2061,Pusher,1019,Mads Mikkelsen
2061,Pusher,21192,Laura Drasbæk
2061,Pusher,31960,Zlatko Burić
2061,Pusher,3411,Slavko Labović
278,The Shawshank Redemption,504,Tim Robbins
278,The Shawshank Redemption,192,Morgan Freeman
278,The Shawshank Redemption,4029,Bob Gunton
278,The Shawshank Redemption,6573,William Sadler
278,The Shawshank Redemption,6574,Clancy Brown
597,Titanic,6193,Leonardo DiCaprio
597,Titanic,204,Kate Winslet
597,Titanic,1954,Billy Zane
597,Titanic,8534,Kathy Bates
597,Titanic,3713,Frances Fisher
497,The Green Mile,31,Tom Hanks
497,The Green Mile,52,David Morse
497,The Green Mile,5149,Bonnie Hunt
497,The Green Mile,61981,Michael Clarke Duncan
497,The Green Mile,2505,James Cromwell
769,GoodFellas,380,Robert De Niro
769,GoodFellas,11477,Ray Liotta
769,GoodFellas,4517,Joe Pesci
769,GoodFellas,11478,Lorraine Bracco
769,GoodFellas,7004,Paul Sorvino
550,Fight Club,819,Edward Norton
550,Fight Club,287,Brad Pitt
550,Fight Club,1283,Helena Bonham Carter
550,Fight Club,7470,Meat Loaf
550,Fight Club,7499,Jared Leto
424,Schindler's List,3896,Liam Neeson
424,Schindler's List,2282,Ben Kingsley
424,Schindler's List,5469,Ralph Fiennes
424,Schindler's List,6692,Caroline Goodall
424,Schindler's List,6693,Jonathan Sagall
13,Forrest Gump,31,Tom Hanks
13,Forrest Gump,32,Robin Wright
13,Forrest Gump,33,Gary Sinise
13,Forrest Gump,35,Sally Field
13,Forrest Gump,34,Mykelti Williamson
8587,The Lion King,4756,Matthew Broderick
8587,The Lion King,20005,Moira Kelly
8587,The Lion King,78729,Nathan Lane
8587,The Lion King,69415,Ernie Sabella
8587,The Lion King,15152,James Earl Jones
82545,Texasville,1229,Jeff Bridges
82545,Texasville,1036,Cybill Shepherd
82545,Texasville,8873,Annie Potts
82545,Texasville,1811,Randy Quaid
82545,Texasville,9599,Cloris Leachman
9769,Lolita,16940,Jeremy Irons
9769,Lolita,11149,Dominique Swain
9769,Lolita,29369,Melanie Griffith
9769,Lolita,8924,Frank Langella
9769,Lolita,11484,Suzanne Shepherd
717586,The Alchemy of Ecstasy,588143,Tom Poon
717586,The Alchemy of Ecstasy,556938,James Ha Chim-Si
717586,The Alchemy of Ecstasy,1195450,Bobby Yip Kin-Sang
717586,The Alchemy of Ecstasy,3067385,Cuicui Li
717586,The Alchemy of Ecstasy,1261743,Onitsuka Ng Kin-Chung
79871,Crazy Love,1135177,Loletta Lee Lai-Chun
79871,Crazy Love,588143,Tom Poon
79871,Crazy Love,1135394,Tommy Wong
79871,Crazy Love,1414279,Poon An-Ying
79871,Crazy Love,119447,Shing Fui-On
489,Good Will Hunting,1892,Matt Damon
489,Good Will Hunting,2157,Robin Williams
489,Good Will Hunting,880,Ben Affleck
489,Good Will Hunting,1640,Stellan Skarsgård
489,Good Will Hunting,6613,Minnie Driver
105825,Erotic Ghost Story III,1134734,Pauline Chan Bo-Lin
105825,Erotic Ghost Story III,119447,Shing Fui-On
105825,Erotic Ghost Story III,70108,Kenny Wong Tak-Ban
105825,Erotic Ghost Story III,544465,Chik King-Man
105825,Erotic Ghost Story III,5893581,张京花
244748,Swan Song,11857,John Gielgud
244748,Swan Song,29859,Richard Briers
857,Saving Private Ryan,31,Tom Hanks
857,Saving Private Ryan,3197,Tom Sizemore
857,Saving Private Ryan,12833,Edward Burns
857,Saving Private Ryan,12834,Barry Pepper
857,Saving Private Ryan,6163,Adam Goldberg
60898,Erotic Ghost Story,231909,Amy Yip Chi-Mei
60898,Erotic Ghost Story,2417373,Man Siu
60898,Erotic Ghost Story,231912,Hitomi Kudô
60898,Erotic Ghost Story,142644,Pal Sinn Lap-Man
60898,Erotic Ghost Story,26781,Susan Ha Chi-Chun
4951,10 Things I Hate About You,1810,Heath Ledger
4951,10 Things I Hate About You,12041,Julia Stiles
4951,10 Things I Hate About You,24045,Joseph Gordon-Levitt
4951,10 Things I Hate About You,40978,Larisa Oleynik
4951,10 Things I Hate About You,38582,David Krumholtz
37165,The Truman Show,206,Jim Carrey
37165,The Truman Show,350,Laura Linney
37165,The Truman Show,11315,Noah Emmerich
37165,The Truman Show,11317,Natascha McElhone
37165,The Truman Show,11318,Holland Taylor
637,Life Is Beautiful,4818,Roberto Benigni
637,Life Is Beautiful,9235,Nicoletta Braschi
637,Life Is Beautiful,9236,Giorgio Cantarini
637,Life Is Beautiful,9237,Giustino Durano
637,Life Is Beautiful,9239,Sergio Bini Bustric
680,Pulp Fiction,8891,John Travolta
680,Pulp Fiction,2231,Samuel L. Jackson
680,Pulp Fiction,139,Uma Thurman
680,Pulp Fiction,62,Bruce Willis
680,Pulp Fiction,10182,Ving Rhames
862,Toy Story,31,Tom Hanks
862,Toy Story,12898,Tim Allen
862,Toy Story,7167,Don Rickles
862,Toy Story,12899,Jim Varney
862,Toy Story,12900,Wallace Shawn
863,Toy Story 2,31,Tom Hanks
863,Toy Story 2,12898,Tim Allen
863,Toy Story 2,3234,Joan Cusack
863,Toy Story 2,7090,Kelsey Grammer
863,Toy Story 2,7167,Don Rickles
854,The Mask,206,Jim Carrey
854,The Mask,20899,Peter Riegert
854,The Mask,11803,Peter Greene
854,The Mask,1219,Amy Yasbeck
854,The Mask,53402,Richard Jeni
249371,Spider and Rose,221730,Ruth Cracknell
249371,Spider and Rose,133686,Simon Bossell
249371,Spider and Rose,38665,Max Cullen
249371,Spider and Rose,28099,Lewis Fitz-Gerald
249371,Spider and Rose,941594,Jennifer Cluff
11970,Hercules,15455,Tate Donovan
11970,Hercules,20903,Josh Keaton
11970,Hercules,45566,Roger Bart
11970,Hercules,518,Danny DeVito
11970,Hercules,4512,James Woods
19404,Dilwale Dulhania Le Jayenge,55061,Kajol
19404,Dilwale Dulhania Le Jayenge,35742,Shah Rukh Khan
19404,Dilwale Dulhania Le Jayenge,691,Amrish Puri
19404,Dilwale Dulhania Le Jayenge,146971,Farida Jalal
19404,Dilwale Dulhania Le Jayenge,6217,Anupam Kher
2105,American Pie,21593,Jason Biggs
2105,American Pie,21594,Chris Klein
2105,American Pie,21403,Thomas Ian Nicholas
2105,American Pie,21595,Alyson Hannigan
2105,American Pie,21596,Shannon Elizabeth
772,Home Alone 2: Lost in New York,11510,Macaulay Culkin
772,Home Alone 2: Lost in New York,4517,Joe Pesci
772,Home Alone 2: Lost in New York,11511,Daniel Stern
772,Home Alone 2: Lost in New York,11514,Catherine O'Hara
772,Home Alone 2: Lost in New York,11512,John Heard
8467,Dumb and Dumber,206,Jim Carrey
8467,Dumb and Dumber,8447,Jeff Daniels
8467,Dumb and Dumber,34485,Lauren Holly
8467,Dumb and Dumber,8437,Teri Garr
8467,Dumb and Dumber,7867,Charles Rocket
9820,The Parent Trap,49265,Lindsay Lohan
9820,The Parent Trap,6065,Dennis Quaid
9820,The Parent Trap,20162,Natasha Richardson
9820,The Parent Trap,55422,Elaine Hendrix
9820,The Parent Trap,4494,Lisa Ann Walter
10830,Matilda,11717,Mara Wilson
10830,Matilda,518,Danny DeVito
10830,Matilda,24203,Rhea Perlman
10830,Matilda,6368,Embeth Davidtz
10830,Matilda,11213,Pam Ferris
115,The Big Lebowski,1229,Jeff Bridges
115,The Big Lebowski,1230,John Goodman
115,The Big Lebowski,1231,Julianne Moore
115,The Big Lebowski,884,Steve Buscemi
115,The Big Lebowski,1232,David Huddleston
788,Mrs. Doubtfire,2157,Robin Williams
788,Mrs. Doubtfire,35,Sally Field
788,Mrs. Doubtfire,8987,Lisa Jakub
788,Mrs. Doubtfire,11716,Matthew Lawrence
788,Mrs. Doubtfire,11717,Mara Wilson
137,Groundhog Day,1532,Bill Murray
137,Groundhog Day,1533,Andie MacDowell
137,Groundhog Day,1534,Chris Elliott
137,Groundhog Day,537,Stephen Tobolowsky
137,Groundhog Day,1535,Brian Doyle-Murray
10897,The Little Rascals,69395,Bug Hall
10897,The Little Rascals,148996,Brittany Ashton Holmes
10897,The Little Rascals,67378,Travis Tedford
10897,The Little Rascals,67379,Kevin Jamal Woods
10897,The Little Rascals,67380,Jordan Warkol
879,Hook,4483,Dustin Hoffman
879,Hook,2157,Robin Williams
879,Hook,1204,Julia Roberts
879,Hook,382,Bob Hoskins
879,Hook,10978,Maggie Smith
9487,A Bug's Life,21290,Dave Foley
9487,A Bug's Life,1979,Kevin Spacey
9487,A Bug's Life,15886,Julia Louis-Dreyfus
9487,A Bug's Life,17265,Hayden Panettiere
9487,A Bug's Life,89784,Phyllis Diller
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,35690,Shawn Wayans
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,9562,Marlon Wayans
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,66131,Tracey Cherelle Jones
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,27590,Chris Spencer
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,2535,Vivica A. Fox
11104,Chungking Express,56830,Brigitte Lin
11104,Chungking Express,43661,Takeshi Kaneshiro
11104,Chungking Express,1337,Tony Leung Chiu-wai
11104,Chungking Express,12671,Faye Wong
