movie_id,title,release_date,decade,genre
603,The Matrix,1999-03-31,1990,Action
1893,Star Wars: Episode I - The Phantom Menace,1999-05-19,1990,Action
101,Léon: The Professional,1994-09-14,1990,Action
949,Heat,1995-12-15,1990,Action
11220,Fallen Angels,1995-09-06,1990,Action
280,Terminator 2: Judgment Day,1991-07-03,1990,Action
607,Men in Black,1997-07-02,1990,Action
954,Mission: Impossible,1996-05-22,1990,Action
564,The Mummy,1999-04-16,1990,Action
18,The Fifth Element,1997-05-02,1990,Action
2109,Rush Hour,1998-09-18,1990,Action
9323,Ghost in the Shell,1995-11-18,1990,Action
197,Braveheart,1995-05-24,1990,Action
330,The Lost World: Jurassic Park,1997-05-23,1990,Action
364,Batman Returns,1992-06-19,1990,Action
1089,Point Break,1991-07-12,1990,Action
36647,Blade,1998-08-21,1990,Action
1637,Speed,1994-06-09,1990,Action
755,From Dusk Till Dawn,1996-01-19,1990,Action
9495,The Crow,1994-05-11,1990,Action
602,Independence Day,1996-06-25,1990,Action
8077,Alien³,1992-05-22,1990,Action
319,True Romance,1993-09-09,1990,Action
664,Twister,1996-05-10,1990,Action
861,Total Recall,1990-06-01,1990,Action
104,Run Lola Run,1998-08-20,1990,Action
563,Starship Troopers,1997-11-07,1990,Action
754,Face/Off,1997-06-27,1990,Action
414,Batman Forever,1995-06-16,1990,Action
8078,Alien Resurrection,1997-11-12,1990,Action
415,Batman & Robin,1997-06-20,1990,Action
11969,Tombstone,1993-12-25,1990,Action
95,Armageddon,1998-07-01,1990,Action
1573,Die Hard 2,1990-07-03,1990,Action
9361,The Last of the Mohicans,1992-08-26,1990,Action
9362,Tremors,1990-01-19,1990,Action
1572,Die Hard: With a Vengeance,1995-05-19,1990,Action
11782,Hard Boiled,1992-04-16,1990,Action
14919,Batman: Mask of the Phantasm,1993-12-25,1990,Action
710,GoldenEye,1995-11-16,1990,Action
4951,10 Things I Hate About You,1999-03-30,1990,Comedy
11104,Chungking Express,1994-07-14,1990,Comedy
637,Life Is Beautiful,1997-12-20,1990,Comedy
9571,Dazed and Confused,1993-09-24,1990,Comedy
492,Being John Malkovich,1999-10-29,1990,Comedy
11545,Rushmore,1998-12-11,1990,Comedy
2907,The Addams Family,1991-11-22,1990,Comedy
1878,Fear and Loathing in Las Vegas,1998-05-22,1990,Comedy
788,Mrs. Doubtfire,1993-11-24,1990,Comedy
10437,The Muppet Christmas Carol,1992-12-11,1990,Comedy
9390,Jerry Maguire,1996-12-13,1990,Comedy
99,All About My Mother,1999-04-16,1990,Comedy
10377,My Cousin Vinny,1992-03-13,1990,Comedy
858,Sleepless in Seattle,1993-06-24,1990,Comedy
712,Four Weddings and a Funeral,1994-03-09,1990,Comedy
4032,My Girl,1991-11-27,1990,Comedy
13531,Empire Records,1995-09-22,1990,Comedy
13685,Bottle Rocket,1996-02-21,1990,Comedy
1811,Nowhere,1997-05-09,1990,Comedy
9451,Election,1999-04-23,1990,Comedy
862,Toy Story,1995-11-22,1990,Comedy
771,Home Alone,1990-11-16,1990,Comedy
509,Notting Hill,1999-05-21,1990,Comedy
115,The Big Lebowski,1998-03-06,1990,Comedy
114,Pretty Woman,1990-03-23,1990,Comedy
863,Toy Story 2,1999-10-30,1990,Comedy
20770,But I'm a Cheerleader,2000-07-07,1990,Comedy
9820,The Parent Trap,1998-07-28,1990,Comedy
772,Home Alone 2: Lost in New York,1992-11-15,1990,Comedy
10830,Matilda,1996-08-02,1990,Comedy
137,Groundhog Day,1993-02-11,1990,Comedy
11970,Hercules,1997-06-13,1990,Comedy
854,The Mask,1994-07-29,1990,Comedy
196,Back to the Future Part III,1990-05-25,1990,Comedy
10439,Hocus Pocus,1993-07-16,1990,Comedy
9487,A Bug's Life,1998-11-25,1990,Comedy
9614,Happy Gilmore,1996-02-16,1990,Comedy
9374,Death Becomes Her,1992-07-30,1990,Comedy
6435,Practical Magic,1998-10-16,1990,Comedy
9489,You've Got Mail,1998-12-18,1990,Comedy
550,Fight Club,1999-10-15,1990,Drama
37165,The Truman Show,1998-06-04,1990,Drama
13,Forrest Gump,1994-06-23,1990,Drama
489,Good Will Hunting,1997-12-05,1990,Drama
274,The Silence of the Lambs,1991-02-14,1990,Drama
278,The Shawshank Redemption,1994-09-23,1990,Drama
597,Titanic,1997-12-18,1990,Drama
769,GoodFellas,1990-09-12,1990,Drama
76,Before Sunrise,1995-01-27,1990,Drama
345,Eyes Wide Shut,1999-07-16,1990,Drama
424,Schindler's List,1993-12-15,1990,Drama
1443,The Virgin Suicides,2000-04-21,1990,Drama
3558,"Girl, Interrupted",1999-12-21,1990,Drama
8587,The Lion King,1994-06-15,1990,Drama
162,Edward Scissorhands,1990-12-07,1990,Drama
275,Fargo,1996-03-08,1990,Drama
627,Trainspotting,1996-02-23,1990,Drama
406,La Haine,1995-05-31,1990,Drama
857,Saving Private Ryan,1998-07-24,1990,Drama
745,The Sixth Sense,1999-08-06,1990,Drama
497,The Green Mile,1999-12-10,1990,Drama
14,American Beauty,1999-09-15,1990,Drama
629,The Usual Suspects,1995-07-19,1990,Drama
334,Magnolia,1999-12-17,1990,Drama
73,American History X,1998-07-01,1990,Drama
4995,Boogie Nights,1997-10-07,1990,Drama
524,Casino,1995-11-22,1990,Drama
454,Romeo + Juliet,1996-11-01,1990,Drama
1213,The Talented Mr. Ripley,1999-12-25,1990,Drama
1541,Thelma & Louise,1991-05-24,1990,Drama
10386,The Iron Giant,1999-08-06,1990,Drama
1700,Misery,1990-11-30,1990,Drama
2649,The Game,1997-09-12,1990,Drama
184,Jackie Brown,1997-12-25,1990,Drama
638,Lost Highway,1997-01-15,1990,Drama
1923,Twin Peaks: Fire Walk with Me,1992-06-03,1990,Drama
628,Interview with the Vampire,1994-11-11,1990,Drama
9100,The Craft,1996-05-03,1990,Drama
18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,1990,Drama
9837,The Prince of Egypt,1998-12-16,1990,Drama
155,The Dark Knight,2008-07-16,2000,Action
24,Kill Bill: Vol. 1,2003-10-10,2000,Action
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,2000,Action
19995,Avatar,2009-12-16,2000,Action
122,The Lord of the Rings: The Return of the King,2003-12-17,2000,Action
557,Spider-Man,2002-05-01,2000,Action
1895,Star Wars: Episode III - Revenge of the Sith,2005-05-17,2000,Action
98,Gladiator,2000-05-04,2000,Action
121,The Lord of the Rings: The Two Towers,2002-12-18,2000,Action
670,Oldboy,2003-11-21,2000,Action
1726,Iron Man,2008-04-30,2000,Action
9806,The Incredibles,2004-10-27,2000,Action
558,Spider-Man 2,2004-06-25,2000,Action
272,Batman Begins,2005-06-10,2000,Action
393,Kill Bill: Vol. 2,2004-04-16,2000,Action
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,2000,Action
1894,Star Wars: Episode II - Attack of the Clones,2002-05-15,2000,Action
559,Spider-Man 3,2007-05-01,2000,Action
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,2000,Action
752,V for Vendetta,2006-02-23,2000,Action
4638,Hot Fuzz,2007-02-14,2000,Action
36557,Casino Royale,2006-11-14,2000,Action
9799,The Fast and the Furious,2001-06-22,2000,Action
285,Pirates of the Caribbean: At World's End,2007-05-19,2000,Action
36657,X-Men,2000-07-13,2000,Action
1724,The Incredible Hulk,2008-06-12,2000,Action
1858,Transformers,2007-06-27,2000,Action
604,The Matrix Reloaded,2003-05-15,2000,Action
9615,The Fast and the Furious: Tokyo Drift,2006-06-03,2000,Action
2034,Training Day,2001-10-05,2000,Action
180,Minority Report,2002-06-20,2000,Action
1991,Death Proof,2007-05-22,2000,Action
36658,X2,2003-04-27,2000,Action
13183,Watchmen,2009-03-04,2000,Action
10528,Sherlock Holmes,2009-12-23,2000,Action
3176,Battle Royale,2000-12-16,2000,Action
9738,Fantastic Four,2005-06-29,2000,Action
1317499,My Poetic Works 300 Yen,2006-07-16,2000,Action
2080,X-Men Origins: Wolverine,2009-04-28,2000,Action
584,2 Fast 2 Furious,2003-06-05,2000,Action
19913,(500) Days of Summer,2009-07-17,2000,Comedy
10315,Fantastic Mr. Fox,2009-10-14,2000,Comedy
2062,Ratatouille,2007-06-28,2000,Comedy
10625,Mean Girls,2004-04-30,2000,Comedy
350,The Devil Wears Prada,2006-06-29,2000,Comedy
14160,Up,2009-05-28,2000,Comedy
808,Shrek,2001-05-18,2000,Comedy
9919,How to Lose a Guy in 10 Days,2003-02-07,2000,Comedy
11631,Mamma Mia!,2008-07-03,2000,Comedy
8363,Superbad,2007-08-17,2000,Comedy
153,Lost in Translation,2003-09-18,2000,Comedy
585,"Monsters, Inc.",2001-11-01,2000,Comedy
194,Amélie,2001-04-25,2000,Comedy
809,Shrek 2,2004-05-19,2000,Comedy
7326,Juno,2007-12-05,2000,Comedy
8835,Legally Blonde,2001-07-13,2000,Comedy
10096,13 Going on 30,2004-04-13,2000,Comedy
19994,Jennifer's Body,2009-09-18,2000,Comedy
18785,The Hangover,2009-06-02,2000,Comedy
920,Cars,2006-06-08,2000,Comedy
118,Charlie and the Chocolate Factory,2005-07-13,2000,Comedy
9502,Kung Fu Panda,2008-06-04,2000,Comedy
12153,White Chicks,2004-06-23,2000,Comedy
747,Shaun of the Dead,2004-04-09,2000,Comedy
9880,The Princess Diaries,2001-08-03,2000,Comedy
1584,School of Rock,2003-10-03,2000,Comedy
8871,How the Grinch Stole Christmas,2000-11-17,2000,Comedy
1581,The Holiday,2006-12-05,2000,Comedy
19908,Zombieland,2009-10-02,2000,Comedy
11544,Lilo & Stitch,2002-06-21,2000,Comedy
10719,Elf,2003-11-07,2000,Comedy
